,start_station_name,start_station_longitude,start_station_latitude,ride_start_date
266,W 15 St & 7 Ave,-73.99931783,40.73935542,194
267,W 16 St & The High Line,-74.00681753,40.74334935,136
268,W 17 St & 8 Ave,-74.00149746,40.74177603,266
269,W 18 St & 6 Ave,-73.99456405,40.73971301,249
270,W 20 St & 11 Ave,-74.007756,40.746745,424
271,W 20 St & 7 Ave,-73.99726235,40.74238787,234
272,W 20 St & 8 Ave,-74.00004031,40.74345335,160
273,W 21 St & 6 Ave,-73.99415556,40.74173969,304
274,W 22 St & 10 Ave,-74.00451887,40.74691959,239
275,W 22 St & 8 Ave,-73.99915362,40.74475148,184
276,W 24 St & 7 Ave,-73.99529885,40.74487634,218
277,W 25 St & 6 Ave,-73.99144871,40.74395411,223
278,W 26 St & 10 Ave,-74.002950346,40.749717753,206
279,W 26 St & 8 Ave,-73.99723551,40.74734825,177
280,W 27 St & 7 Ave,-73.993915,40.746647,179
281,W 29 St & 9 Ave,-73.99839279,40.7500727,122
282,W 31 St & 7 Ave,-73.9916,40.749156,228
283,W 33 St & 7 Ave,-73.99093085,40.75019995,257
284,W 34 St & 11 Ave,-74.0021163,40.75594159,55
285,W 37 St & 10 Ave,-73.9979009,40.75660359,166
286,W 37 St & 5 Ave,-73.98338988,40.75038009,129
287,W 38 St & 8 Ave,-73.99138152,40.75466591,206
288,W 39 St & 9 Ave,-73.99372222,40.75645824,238
289,W 4 St & 7 Ave S,-74.00293877,40.73401143,328
290,W 41 St & 8 Ave,-73.9900262,40.75640548,316
291,W 42 St & 8 Ave,-73.99098507,40.7575699,133
292,W 43 St & 10 Ave,-73.99461843,40.76009437,196
293,W 43 St & 6 Ave,-73.98316936,40.75527307,146
294,W 44 St & 5 Ave,-73.98014437,40.75500254,100
295,W 45 St & 6 Ave,-73.98291153,40.7568001,123
296,W 45 St & 8 Ave,-73.98859651,40.75929124,147
297,W 46 St & 11 Ave,-73.99667444,40.76341379,106
298,W 47 St & 10 Ave,-73.99301222,40.76269882,113
299,W 49 St & 5 Ave,-73.97787642,40.75795248,81
300,W 49 St & 8 Ave,-73.98788205,40.76227205,182
301,W 51 St & 6 Ave,-73.98042047,40.7606597,125
302,W 52 St & 11 Ave,-73.99392888,40.76727216,145
303,W 52 St & 5 Ave,-73.97648516,40.75992262,96
304,W 52 St & 9 Ave,-73.98789473,40.76461837,88
305,W 53 St & 10 Ave,-73.99061728,40.76669671,107
306,W 54 St & 9 Ave,-73.98690506,40.76584941,79
307,W 56 St & 10 Ave,-73.988639,40.768254,86
308,W 56 St & 6 Ave,-73.97722479,40.76340613,153
309,W 59 St & 10 Ave,-73.988038,40.770513,122
310,W Broadway & Spring St,-74.00154702,40.72490985,168
311,W Houston St & Hudson St,-74.00748842,40.72873888,249
312,Warren St & Church St,-74.00910627,40.71473993,121
313,Washington Ave & Greene Ave,-73.96563307,40.68650065,18
314,Washington Ave & Park Ave,-73.96751037,40.69610226,31
315,Washington Park,-73.97372989,40.69178232,26
316,Washington Pl & 6 Ave,-74.00026394,40.73224119,117
317,Washington Pl & Broadway,-73.99404649,40.72903917,161
318,Washington Square E,-73.9957214,40.73049393,219
319,Washington St & Gansevoort St,-74.008119,40.739323,165
320,Water - Whitehall Plaza,-74.0127234,40.70255065,45
321,Watts St & Greenwich St,-74.00965965,40.72405549,143
322,West St & Chambers St,-74.01322069,40.71754834,299
323,West Thames St,-74.01713445,40.70834698,144
324,William St & Pine St,-74.00887308,40.70717936,102
325,Willoughby Ave & Hall St,-73.96536851,40.69196035,36
326,Willoughby Ave & Walworth St,-73.95381995,40.69331716,23
327,Willoughby St & Fleet St,-73.9813018,40.69196566,52
328,Wythe Ave & Metropolitan Ave,-73.963198,40.716887,60
329,York St & Jay St,-73.98656928,40.7014851,84
